date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.15,59.99999999999339,4.000000000004,-1164.9999999999939,-674.9999999999972,-1648.9999999999893,,-3424.9999999999827
2019.11.15,65.00000000000395,26.0000000000149,-1186.9999999999936,-680.9999999999974,-1689.9999999999916,,-3466.9999999999636
2019.11.15,59.99999999999339,1.0000000000065512,-1185.0000000000027,-679.000000000002,-1697.9999999999995,,-3501.0000000000045
2019.11.15,28.999999999990145,-22.999999999995246,-1197.999999999999,-696.9999999999885,-1717.9999999999973,,-3606.99999999999
2019.11.15,19.999999999997797,-40.99999999997994,-1197.0000000000036,-731.9999999999993,-1720.9999999999948,,-3670.99999999998
2019.11.15,18.999999999991246,-64.99999999998174,-1161.000000000001,-707.9999999999984,-1638.9999999999905,,-3553.99999999998
2019.11.15,5.999999999994898,-92.99999999998754,-1197.999999999999,-748.9999999999952,-1669.9999999999936,,-3703.999999999981
2019.11.15,-24.000000000001798,-120.99999999999334,-1197.999999999999,-810.9999999999928,-1662.9999999999923,,-3816.9999999999795
2019.11.15,-35.00000000000725,-144.99999999999514,-1234.0000000000018,-808.9999999999975,-1663.9999999999989,,-3887.000000000001
2019.11.15,-15.00000000000945,-200.00000000000017,-1256.999999999997,-799.9999999999972,-1800.0000000000016,,-4072.0000000000055
2019.11.15,-36.999999999998145,-230.9999999999812,-1239.0000000000011,-732.9999999999899,-1805.9999999999966,,-4045.9999999999673
2019.11.15,-39.999999999995595,-250.99999999997902,-1175.0000000000039,-715.999999999994,-1818.999999999993,,-4000.9999999999654
2019.11.15,-1.999999999990898,-253.99999999999866,-1237.9999999999948,-647.9999999999961,-1936.0000000000043,,-4077.9999999999845
2019.11.15,43.999999999999595,-263.99999999999756,-1290.9999999999977,-619.9999999999903,-2042.9999999999948,,-4173.999999999981
2019.11.15,70.99999999999883,-267.99999999997937,-1286.9999999999936,-562.9999999999882,-2012.9999999999982,,-4059.9999999999604
2019.11.15,103.99999999999298,-237.99999999998266,-1183.9999999999961,-558.9999999999975,-1835.0000000000089,,-3711.9999999999923
2019.11.15,87.99999999999919,-210.99999999998343,-1134.0000000000016,-524.9999999999915,-1757.0000000000086,,-3538.999999999986
