timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.25 22:30,859.0000000000045,,2021.10.25 04:30,-129.00000000000801,,2021.10.28 07:00,2131.0000000000505
2021.10.25 22:00,754.9999999999974,,2021.10.26 23:30,-130.99999999995669,,2021.10.29 12:00,2198.0000000000205
2021.10.25 21:30,930.000000000026,,2021.10.27 08:30,-143.00000000001546,,2021.10.27 15:00,2515.0000000000337
2021.10.25 21:00,1127.0000000000343,,2021.10.27 04:30,-148.9999999999602,,2021.10.29 07:30,2744.0000000000236
2021.10.25 20:30,597.0000000000083,,2021.10.26 16:00,-174.00000000001228,,2021.10.28 16:00,2748.0000000000355
2021.10.25 20:00,735.0000000000339,,2021.10.27 17:30,-189.9999999999672,,2021.10.29 11:00,2890.9999999999923
2021.10.25 19:30,633.0000000000315,,2021.10.27 01:00,-201.99999999999062,,2021.10.29 08:30,2916.9999999999914
2021.10.25 19:00,742.9999999999895,,2021.10.26 23:00,-215.99999999994134,,2021.10.29 06:00,2974.000000000011
2021.10.25 18:30,250.00000000001154,,2021.10.26 05:30,-221.99999999996004,,2021.10.29 07:00,3024.0000000000437
2021.10.25 18:00,444.0000000000182,,2021.10.27 05:30,-224.9999999999194,,2021.10.29 11:30,3029.0000000000196
2021.10.25 17:30,610.0000000000659,,2021.10.27 03:30,-239.99999999996578,,2021.10.29 08:00,3037.000000000012
2021.10.25 17:00,382.00000000004053,,2021.10.26 22:00,-255.00000000000597,,2021.10.27 15:30,3266.0000000000273
2021.10.25 16:30,143.0000000000228,,2021.10.27 00:00,-286.99999999996834,,2021.10.29 04:00,3270.9999999999764
2021.10.25 16:00,33.000000000006594,,2021.10.25 11:30,-298.00000000000455,,2021.10.29 05:00,3278.000000000093
2021.10.25 15:30,-1617.9999999999964,,2021.10.26 13:30,-321.9999999999547,,2021.10.29 10:00,3283.000000000049
2021.10.25 15:00,-1246.9999999999873,,2021.10.26 04:30,-360.999999999973,,2021.10.28 16:30,3307.0000000000555
2021.10.25 14:30,-1322.9999999999702,,2021.10.26 21:30,-364.99999999998226,,2021.10.29 09:30,3316.000000000037
2021.10.25 14:00,-982.9999999999654,,2021.10.27 05:00,-375.99999999997857,,2021.10.29 03:30,3321.0000000000337
2021.10.25 13:30,-1676.0000000000095,,2021.10.26 20:30,-412.99999999998494,,2021.10.29 04:30,3335.0000000000446
2021.10.25 13:00,-2219.999999999981,,2021.10.25 05:00,-432.9999999999842,,2021.10.29 05:30,3350.000000000031
2021.10.25 12:30,-1923.9999999999495,,2021.10.26 21:00,-514.9999999999461,,2021.10.27 16:30,3384.000000000019
2021.10.25 12:00,-1816.9999999999695,,2021.10.26 12:30,-515.9999999999955,,2021.10.29 06:30,3441.9999999999986
2021.10.25 11:30,-298.00000000000455,,2021.10.25 05:30,-533.9999999999465,,2021.10.29 10:30,3539.0000000000437
2021.10.25 11:00,744.0000000000173,,2021.10.26 16:30,-662.0000000000034,,2021.10.29 03:00,3595.999999999991
2021.10.25 10:30,997.0000000000318,,2021.10.26 12:00,-662.9999999999994,,2021.10.29 09:00,3698.0000000000105
2021.10.25 10:00,307.99999999997453,,2021.10.26 11:30,-666.9999999999688,,2021.10.27 16:00,3776.000000000022
2021.10.25 09:30,364.00000000001364,,2021.10.26 11:00,-676.9999999999886,,2021.10.29 02:30,3875.0000000000264
2021.10.25 09:00,747.0000000000052,,2021.10.26 10:00,-744.9999999999925,,2021.10.28 22:00,3895.000000000001
2021.10.25 08:30,924.0000000000202,,2021.10.26 13:00,-745.9999999999746,,2021.10.29 02:00,3924.0000000000146
2021.10.25 08:00,683.0000000000033,,2021.10.26 19:00,-768.9999999999859,,2021.10.29 01:00,3933.0000000000155
2021.10.25 07:30,754.0000000000042,,2021.10.26 19:30,-860.9999999999613,,2021.10.28 23:00,4020.0000000000496
2021.10.25 07:00,660.0000000000425,,2021.10.26 17:30,-967.9999999999634,,2021.10.29 00:00,4045.9999999999995
2021.10.25 06:30,702.0000000000556,,2021.10.26 20:00,-980.9999999999629,,2021.10.28 22:30,4052.000000000013
2021.10.25 06:00,389.0000000000083,,2021.10.25 14:00,-982.9999999999654,,2021.10.29 01:30,4164.000000000032
